ticker,yahoo_ticker,country,company,sector,borsdata_ticker,ins_id
CEVI,CEVI.ST,Sweden,CellaVision,,CEVI,49.0
CEMAT,CEMAT.CO,Denmark,Cemat,,CEMAT,1290.0
CRNO B,CRNO-B.ST,Sweden,Cereno Scientific,,CRNO B,1337.0
CESSA,CESSA.CO,Denmark,Cessatech,,CESSA,2058.0
CHARGE,CHARGE.ST,Sweden,ChargePanel,,CHARGE,2320.0
CHECK,CHECK.ST,Sweden,checkin.com,,CHECK,2140.0
CHEF,CHEF.ST,Sweden,Cheffelo,,CHEF,2119.0
CHEMM,CHEMM.CO,Denmark,ChemoMetec,,CHEMM,1229.0
CMOTEC B,CMOTEC-B.ST,Sweden,ChemoTech,,CMOTEC B,1389.0
CMH,CMH.ST,Sweden,Chordate Medical,,CMH,1414.0
CMH PREF,CMHPREF.ST,Sweden,Chordate Medical Pref,,CMH PREF,2579.0
CHOSA,CHOSA.ST,Sweden,CHOSA Oncology,,CHOSA,1013.0
CIBUS,CIBUS.ST,Sweden,Cibus Nordic,,CIBUS,1676.0
CINPHA,CINPHA.ST,Sweden,Cinclus Pharma,,CINPHA,2539.0
CINIS,CINIS.ST,Sweden,Cinis Fertilizer,,,
CINT,CINT.ST,Sweden,Cint Group,,CINT,2077.0
CIRCHE,CIRCHE.ST,Sweden,CirChem,,CIRCHE,2049.0
CRNA,CRNA.OL,Norway,Circio,,CRNA,1351.0
CTY1S,CTY1S.HE,Finland,Citycon,,CTY1S,675.0
CITYVA,CITYVA.HE,Finland,Cityvarasto,,CITYVA,2596.0
CLAS B,CLAS-B.ST,Sweden,Clas Ohlson,,CLAS B,51.0
CLAV,CLAV.ST,Sweden,Clavister,,CLAV,397.0
CLEMO,CLEMO.ST,Sweden,Clean Motion,,CLEMO,1315.0
CLEM,CLEM.ST,Sweden,Clemondo,,CLEM,416.0
CLIME B,CLIME-B.ST,Sweden,Climeon,,CLIME B,1542.0
CLS B,CLS-B.ST,Sweden,Clinical Laserthermia,,CLS B,521.0
CLA B,CLA-B.ST,Sweden,Cloetta,,CLA B,52.0
CLOUD,CLOUD.OL,Norway,Cloudberry Clean Energy,,CLOUD,1932.0
CMBTO,CMBTO.OL,Norway,CMB.TECH NV,,CMBTO,2600.0
CODE,CODE.OL,Norway,CodeLab Capital,,CODE,2012.0
CDMIL,CDMIL.ST,Sweden,CodeMill,,CDMIL,2199.0
COEGIN,COEGIN.ST,Sweden,Coegin Pharma,,COEGIN,1666.0
COFFEE B,COFFEE-B.ST,Sweden,Coffee Stain,,COFFEE B,2607.0
CS,CS.ST,Sweden,CoinShares,,CS,2097.0
COLLAX,COLLAX.ST,Sweden,Collaxio,,COLLAX,2336.0
COLO B,COLO-B.CO,Denmark,Coloplast,,COLO B,892.0
COLUM,COLUM.CO,Denmark,Columbus,,COLUM,1230.0
CX,CX.ST,Sweden,CombinedX,,CX,2377.0
COMINT,COMINT.ST,Sweden,Comintelli,,COMINT,1749.0
COMPDM,COMPDM.ST,Sweden,Compodium,,COMPDM,2297.0
CTH1V,CTH1V.HE,Finland,Componenta,,CTH1V,797.0
CNCJO B,CNCJO-B.ST,Sweden,Concejo B,,CNCJO B,56.0
CAM B,CAM-B.ST,Sweden,Consensus,,CAM B,530.0
COSH,COSH.OL,Norway,Constellation Oil,,COSH,2578.0
CONSTI,CONSTI.HE,Finland,Consti,,CONSTI,931.0
SX5010PI,SX5010PI.ST,Sweden,Construction & Materials,,SX5010PI,2456.0
SX4020PI,SX4020PI.ST,Sweden,Consumer Products,,SX4020PI,2475.0
SX402010PI,SX402010PI.ST,Sweden,Consumer Services,,SX402010PI,2452.0
CONTX,CONTX.OL,Norway,ContextVision,,CONTX,1052.0
CLCO,CLCO.OL,Norway,Cool Company,,,
COOR,COOR.ST,Sweden,Coor Service Management,,COOR,741.0
CPHCAP ST,CPHCAP-ST.CO,Denmark,Copenhagen Capital,,CPHCAP ST,1231.0
CORE A,CORE-A.ST,Sweden,Corem Property A,,CORE A,57.0
CORE B,CORE-B.ST,Sweden,Corem Property B,,CORE B,1608.0
CORE D,CORE-D.ST,Sweden,Corem Property D,,CORE D,2218.0
CORE PREF,COREPREF.ST,Sweden,Corem Property Pref,,CORE PREF,608.0
CLBIO,CLBIO.ST,Sweden,Corline Biomedical,,CLBIO,749.0
CRAD B,CRAD-B.ST,Sweden,C-RAD,,CRAD B,270.0
CRED A,CRED-A.ST,Sweden,Creades,,CRED A,278.0
CRET,CRET.ST,Sweden,Creturner,,CRET,2208.0
CRWN,CRWN.ST,Sweden,Crown Energy,,CRWN,571.0
CFISH,CFISH.ST,Sweden,Crunchfish,,CFISH,1382.0
CTEK,CTEK.ST,Sweden,CTEK,,CTEK,2253.0
CTT,CTT.ST,Sweden,CTT Systems,,CTT,58.0
CURAS,CURAS.CO,Denmark,Curasight,,CURAS,1976.0
CYB1,CYB1.ST,Sweden,Cyber Security 1,,CYB1,1366.0
CYCLE,CYCLE.ST,Sweden,Cyclezyme,,CYCLE,2522.0
CYVIZ,CYVIZ.OL,Norway,Cyviz,,CYVIZ,2060.0
DNORD,DNORD.CO,Denmark,D/S Norden,,DNORD,1191.0
DE,DE.ST,Sweden,Dala Energi,,,
DANCAN,DANCAN.CO,Denmark,Dancann Pharma,,,
DAC,DAC.CO,Denmark,Danish Aerospace,,DAC,1846.0
DAB,DAB.CO,Denmark,Danske Andelskassers,,DAB,1233.0
DANSKE,DANSKE.CO,Denmark,Danske Bank,,DANSKE,893.0
DANT,DANT.CO,Denmark,Dantax,,DANT,1234.0
DATA,DATA.CO,Denmark,Dataproces,,DATA,2028.0
DEDI,DEDI.ST,Sweden,Dedicare,,DEDI,245.0
DVD,DVD.OL,Norway,Deep Value Driller,,DVD,2167.0
DELIA,DELIA.OL,Norway,Dellia Group,,DELIA,2594.0
DEMANT,DEMANT.CO,Denmark,Demant,,DEMANT,956.0
DSNO,DSNO.ST,Sweden,Desenio,,DSNO,2080.0
