action_baseline,k_baseline,ticker_baseline,company_baseline,quality_score_baseline,mos_baseline,mode_baseline,period,date_baseline,ret_baseline,action_change1_quality,k_change1_quality,ticker_change1_quality,company_change1_quality,quality_score_change1_quality,mos_change1_quality,mode_change1_quality,date_change1_quality,ret_change1_quality,action_change2_value,k_change2_value,ticker_change2_value,company_change2_value,quality_score_change2_value,mos_change2_value,mode_change2_value,date_change2_value,ret_change2_value,action_v2,k_v2,ticker_v2,company_v2,quality_score_v2,mos_v2,mode_v2,date_v2,ret_v2
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-08,2014-08-29,-0.028169014084507005,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-08-29,-0.028169014084507005,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-08-29,-0.028169014084507005,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-08-29,-0.028169014084507005
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-09,2014-09-30,-0.01449275362318836,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-09-30,-0.01449275362318836,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-09-30,-0.01449275362318836,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-09-30,-0.01449275362318836
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2014-10,2014-10-31,0.062000199645587895,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2014-10-31,0.062000199645587895,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2014-10-31,0.062000199645587895,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2014-10-31,0.062000199645587895
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2014-11,2014-11-28,-0.049905831283461155,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2014-11-28,-0.049905831283461155,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2014-11-28,-0.049905831283461155,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2014-11-28,-0.049905831283461155
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-12,2014-12-30,0.030120481927710774,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-12-30,0.030120481927710774,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-12-30,0.030120481927710774,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-12-30,0.030120481927710774
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2015-01,2015-01-30,-0.03508771929824561,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2015-01-30,-0.03508771929824561,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2015-01-30,-0.03508771929824561,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2015-01-30,-0.03508771929824561
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2015-02,2015-02-27,0.2606060606060605,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2015-02-27,0.2606060606060605,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2015-02-27,0.2606060606060605,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2015-02-27,0.2606060606060605
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2015-03,2015-03-31,-0.12019230769230771,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2015-03-31,-0.12019230769230771,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2015-03-31,-0.12019230769230771,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2015-03-31,-0.12019230769230771
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2015-04,2015-04-30,0.180327868852459,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2015-04-30,0.180327868852459,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2015-04-30,0.180327868852459,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2015-04-30,0.180327868852459
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2015-05,2015-05-29,0.02314814814814814,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2015-05-29,0.02314814814814814,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2015-05-29,0.02314814814814814,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2015-05-29,0.02314814814814814
