dataset,market,ins_id,file_path,status,rows,fetched_at,attempts,last_error,source
prices,NO,1928,prices__NO__1928.parquet,ok,1502,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1932,prices__NO__1932.parquet,ok,1477,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1934,prices__NO__1934.parquet,ok,1463,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1937,prices__NO__1937.parquet,ok,1450,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1950,prices__NO__1950.parquet,ok,1424,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1951,prices__NO__1951.parquet,ok,1436,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1954,prices__NO__1954.parquet,ok,1415,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1955,prices__NO__1955.parquet,ok,1413,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1959,prices__NO__1959.parquet,ok,1409,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1960,prices__NO__1960.parquet,ok,1407,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1962,prices__NO__1962.parquet,ok,1408,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1965,prices__NO__1965.parquet,ok,1376,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1966,prices__NO__1966.parquet,ok,1385,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1978,prices__NO__1978.parquet,ok,1346,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1981,prices__NO__1981.parquet,ok,1353,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1985,prices__NO__1985.parquet,ok,1361,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1986,prices__NO__1986.parquet,ok,1348,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1987,prices__NO__1987.parquet,ok,1349,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2002,prices__NO__2002.parquet,ok,1341,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2003,prices__NO__2003.parquet,ok,1343,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2004,prices__NO__2004.parquet,ok,1342,2026-02-20T08:37:23.636157+00:00,1,,api
